OperatorId,OperatorName,Owner,TotalOperatorTokens,DelegatorId,DelegatorsOperatorTokens
0x189f13223436efa6b1f60148c7ba4a38445ebae1,Fudo,0xc18db07619cc84f0c7e401ac9e495a19d8f7ca6a,909725.239144174454158516,0x6c2c6e1e556c876b6eb3455f444d765d6f36c872,37449.182758058649886363
0x189f13223436efa6b1f60148c7ba4a38445ebae1,Fudo,0xc18db07619cc84f0c7e401ac9e495a19d8f7ca6a,909725.239144174454158516,0x789bcf2f1856a20fcf9efb86bb9324840539ea3c,229076.270522029504129418
0x189f13223436efa6b1f60148c7ba4a38445ebae1,Fudo,0xc18db07619cc84f0c7e401ac9e495a19d8f7ca6a,909725.239144174454158516,0x9295e419c4d2601f15cd9a5fd7adda24a0a144dd,15371.118445210660753414
0x189f13223436efa6b1f60148c7ba4a38445ebae1,Fudo,0xc18db07619cc84f0c7e401ac9e495a19d8f7ca6a,909725.239144174454158516,0x941dd898aec01a1fe15aaa37f29ac8f7560bbce9,15378.944687623837590521
0x189f13223436efa6b1f60148c7ba4a38445ebae1,Fudo,0xc18db07619cc84f0c7e401ac9e495a19d8f7ca6a,909725.239144174454158516,0xb1f0e71f77f8e4d2963831c08a7c5571275e53a2,71783.394530736888905768
0x189f13223436efa6b1f60148c7ba4a38445ebae1,Fudo,0xc18db07619cc84f0c7e401ac9e495a19d8f7ca6a,909725.239144174454158516,0xb9b762ba6b7e6c484f532ff560f10bdbd6c48258,3276.926415109118258453
0x189f13223436efa6b1f60148c7ba4a38445ebae1,Fudo,0xc18db07619cc84f0c7e401ac9e495a19d8f7ca6a,909725.239144174454158516,0xc18db07619cc84f0c7e401ac9e495a19d8f7ca6a,305305.307749433850466024
0x189f13223436efa6b1f60148c7ba4a38445ebae1,Fudo,0xc18db07619cc84f0c7e401ac9e495a19d8f7ca6a,909725.239144174454158516,0xfd7e9bd7ab546fea3ea775f9a6e74e1b56d1d1a1,2910.695373632744930345
0x1912b8e8498514d8dff84fd14a06435a747e52ef,Technolify,0x93eafa847be6f09c436ee0a3655de4f47a4947c8,5170.9760651596,0x93eafa847be6f09c436ee0a3655de4f47a4947c8,5170.9760651596
0x19f5f8da11cf147ecfb57816135bbe916475eb44,HiTech Hayekian,0xf38588c716f0290cd9457f3cfdb3e5f3037023c4,7148.953787925858722357,0xf38588c716f0290cd9457f3cfdb3e5f3037023c4,7148.953787925858722357
